plan_id,plan_date,item_id,item_name,current_on_hand,net_available_inventory,stockout_risk_class,stockout_risk_probability,recommended_action,recommended_order_qty,recommended_order_multiple,expected_arrival_date,projected_days_of_supply,expected_holding_cost,expected_stockout_penalty,expected_total_cost,algorithm_used,reason_code,explanation,constraint_flags,approval_status,review_notes
245,2026-03-08,6173,LB24020S,0,1999.0,Low,3.4868420377504087e-06,WAIT,0,0,,999.0,0.0,0.0,0.0,Naive Bayes + Rule-Based Planning,SUFFICIENT_COVERAGE,"Wait recommended because available and inbound supply are sufficient for projected demand, and current stockout risk is Low (0.00).",OPEN_PO_EXISTS,Pending,
246,2026-03-08,6175,BL80204,711,3404.0,Low,2.4767051386919864e-29,WAIT,0,0,,3025.777777777778,0.0,0.0,0.0,Naive Bayes + Rule-Based Planning,SUFFICIENT_COVERAGE,"Wait recommended because available and inbound supply are sufficient for projected demand, and current stockout risk is Low (0.00).",HIGH_CRITICALITY; OPEN_PO_EXISTS; OPEN_SO_EXISTS,Pending,
247,2026-03-08,6205,50616,0,3800.0,High,0.9999987825992797,REORDER,0,0,2026-06-06,999.0,0.0,0.0,0.0,Naive Bayes + Rule-Based Planning,REORDER_TRIGGER,"Reorder recommended because net available inventory (3800.0) is at or below the reorder trigger, stockout risk is High (1.00), and MOQ rules require an order quantity of 0 units.",OPEN_PO_EXISTS,Pending,
248,2026-03-08,6206,LSTM2012-2,0,0.0,Low,3.2770019659521374e-06,REORDER,500,1,2026-07-06,999.0,560.0,0.0,560.0,Naive Bayes + Rule-Based Planning,REORDER_TRIGGER,"Reorder recommended because net available inventory (0.0) is at or below the reorder trigger, stockout risk is Low (0.00), and MOQ rules require an order quantity of 500 units.",MOQ_APPLIED,Pending,
249,2026-03-08,6210,70432,61,774.0,Low,3.741309744692218e-05,WAIT,0,0,,774.0,0.0,0.0,0.0,Naive Bayes + Rule-Based Planning,SUFFICIENT_COVERAGE,"Wait recommended because available and inbound supply are sufficient for projected demand, and current stockout risk is Low (0.00).",OPEN_PO_EXISTS; OPEN_SO_EXISTS,Pending,
250,2026-03-08,6214,DT71613S,375,2100.0,Low,3.305779150458336e-06,WAIT,0,0,,999.0,0.0,0.0,0.0,Naive Bayes + Rule-Based Planning,SUFFICIENT_COVERAGE,"Wait recommended because available and inbound supply are sufficient for projected demand, and current stockout risk is Low (0.00).",HIGH_CRITICALITY; OPEN_PO_EXISTS; OPEN_SO_EXISTS,Pending,
251,2026-03-08,6215,DT-TK-1,0,250.0,Low,3.304663088672111e-06,REORDER,1000,1,2026-07-06,999.0,500.0,0.0,500.0,Naive Bayes + Rule-Based Planning,REORDER_TRIGGER,"Reorder recommended because net available inventory (250.0) is at or below the reorder trigger, stockout risk is Low (0.00), and MOQ rules require an order quantity of 1000 units.",MOQ_APPLIED; HIGH_CRITICALITY; OPEN_PO_EXISTS,Pending,
252,2026-03-08,6217,SK-2,2627,47410.0,High,0.9999988745416682,REORDER,0,0,2026-07-06,630.382271468144,0.0,0.0,0.0,Naive Bayes + Rule-Based Planning,REORDER_TRIGGER,"Reorder recommended because net available inventory (47410.0) is at or below the reorder trigger, stockout risk is High (1.00), and MOQ rules require an order quantity of 0 units.",HIGH_CRITICALITY; OPEN_PO_EXISTS; OPEN_SO_EXISTS,Pending,
253,2026-03-08,6228,TC70020-1,0,46485.0,Low,6.623985180759443e-07,WAIT,0,0,,999.0,0.0,0.0,0.0,Naive Bayes + Rule-Based Planning,SUFFICIENT_COVERAGE,"Wait recommended because available and inbound supply are sufficient for projected demand, and current stockout risk is Low (0.00).",HIGH_CRITICALITY; OPEN_PO_EXISTS,Pending,
254,2026-03-08,6231,BL80204-1,1,16493.0,Low,3.847330337828881e-06,WAIT,0,0,,999.0,0.0,0.0,0.0,Naive Bayes + Rule-Based Planning,SUFFICIENT_COVERAGE,"Wait recommended because available and inbound supply are sufficient for projected demand, and current stockout risk is Low (0.00).",HIGH_CRITICALITY; OPEN_PO_EXISTS,Pending,
255,2026-03-08,6234,415-16SG,900,5916.0,Low,2.8765892057721034e-06,WAIT,0,0,,999.0,0.0,0.0,0.0,Naive Bayes + Rule-Based Planning,SUFFICIENT_COVERAGE,"Wait recommended because available and inbound supply are sufficient for projected demand, and current stockout risk is Low (0.00).",HIGH_CRITICALITY; OPEN_PO_EXISTS; OPEN_SO_EXISTS,Pending,
256,2026-03-08,6235,TC70020S,1870,12747.0,Low,1.4094455945837317e-58,WAIT,0,0,,4370.400000000001,0.0,0.0,0.0,Naive Bayes + Rule-Based Planning,SUFFICIENT_COVERAGE,"Wait recommended because available and inbound supply are sufficient for projected demand, and current stockout risk is Low (0.00).",HIGH_CRITICALITY; OPEN_PO_EXISTS; OPEN_SO_EXISTS,Pending,
257,2026-03-08,6358,RS91120-1,4932,90258.0,Low,2.77737883314599e-13,WAIT,0,0,,999.0,0.0,0.0,0.0,Naive Bayes + Rule-Based Planning,SUFFICIENT_COVERAGE,"Wait recommended because available and inbound supply are sufficient for projected demand, and current stockout risk is Low (0.00).",HIGH_CRITICALITY; OPEN_PO_EXISTS,Pending,
