item_id,current_on_hand,safety_stock,reorder_point,last_updated
5323,0,500,500,03/01/2026 00:00:00
5329,0,1000,1000,03/01/2026 00:00:00
5330,222,500,500,03/01/2026 00:00:00
5534,0,250,250,03/01/2026 00:00:00
5535,328,500,501,03/01/2026 00:00:00
5536,5,1000,1000,03/01/2026 00:00:00
5539,0,1000,1000,03/01/2026 00:00:00
5540,45,250,250,03/01/2026 00:00:00
5544,432,500,501,03/01/2026 00:00:00
5545,55,500,500,03/01/2026 00:00:00
5548,328,250,251,03/01/2026 00:00:00
5549,86,500,500,03/01/2026 00:00:00
5552,1008,1000,1001,03/01/2026 00:00:00
5553,474,250,252,03/01/2026 00:00:00
5556,272,1000,1000,03/01/2026 00:00:00
5557,207,500,500,03/01/2026 00:00:00
5560,654,1000,1001,03/01/2026 00:00:00
5561,287,500,501,03/01/2026 00:00:00
5565,719,1000,1001,03/01/2026 00:00:00
5566,348,250,251,03/01/2026 00:00:00
5567,5189,1000,1005,03/01/2026 00:00:00
5568,4254,1000,1004,03/01/2026 00:00:00
5569,1853,1000,1002,03/01/2026 00:00:00
5570,1790,1000,1002,03/01/2026 00:00:00
5572,0,250,250,03/01/2026 00:00:00
5582,0,500,500,03/01/2026 00:00:00
5597,5,1000,1000,03/01/2026 00:00:00
5601,20,1000,1000,03/01/2026 00:00:00
5602,0,500,500,03/01/2026 00:00:00
5607,12498,1000,1012,03/01/2026 00:00:00
5608,778,1000,1001,03/01/2026 00:00:00
5609,694,1000,1001,03/01/2026 00:00:00
5610,162,1000,1000,03/01/2026 00:00:00
5611,1644,1000,1002,03/01/2026 00:00:00
5612,2698,1000,1003,03/01/2026 00:00:00
5613,520,1000,1001,03/01/2026 00:00:00
5614,1110,500,502,03/01/2026 00:00:00
5615,640,250,253,03/01/2026 00:00:00
5616,161,500,500,03/01/2026 00:00:00
5617,749,1000,1001,03/01/2026 00:00:00
5618,1691,1000,1002,03/01/2026 00:00:00
5621,285,1000,1000,03/01/2026 00:00:00
5622,0,250,250,03/01/2026 00:00:00
5625,189,500,500,03/01/2026 00:00:00
5626,91,500,500,03/01/2026 00:00:00
5627,1,500,500,03/01/2026 00:00:00
5629,72,1000,1000,03/01/2026 00:00:00
5630,65,500,500,03/01/2026 00:00:00
5631,2,500,500,03/01/2026 00:00:00
5632,34,500,500,03/01/2026 00:00:00
5633,155,1000,1000,03/01/2026 00:00:00
5640,461,1000,1000,03/01/2026 00:00:00
5641,1273,1000,1001,03/01/2026 00:00:00
5642,8,250,250,03/01/2026 00:00:00
5645,571,250,252,03/01/2026 00:00:00
5646,61,1000,1000,03/01/2026 00:00:00
5648,2,1000,1000,03/01/2026 00:00:00
5653,0,500,500,03/01/2026 00:00:00
5654,0,500,500,03/01/2026 00:00:00
5656,0,1000,1000,03/01/2026 00:00:00
5658,0,500,500,03/01/2026 00:00:00
5663,0,250,250,03/01/2026 00:00:00
5963,19,250,250,03/01/2026 00:00:00
5964,108,500,500,03/01/2026 00:00:00
5965,47,500,500,03/01/2026 00:00:00
5967,0,500,500,03/01/2026 00:00:00
5968,0,500,500,03/01/2026 00:00:00
5969,0,500,500,03/01/2026 00:00:00
5971,0,500,500,03/01/2026 00:00:00
5982,200,500,500,03/01/2026 00:00:00
5989,0,250,250,03/01/2026 00:00:00
5993,2742,1000,1003,03/01/2026 00:00:00
5994,3128,250,263,03/01/2026 00:00:00
6005,1203,1000,1001,03/01/2026 00:00:00
6016,0,250,250,03/01/2026 00:00:00
6018,0,500,500,03/01/2026 00:00:00
6022,1921,1000,1002,03/01/2026 00:00:00
6023,500,1000,1001,03/01/2026 00:00:00
6024,475,1000,1000,03/01/2026 00:00:00
6026,136,1000,1000,03/01/2026 00:00:00
6027,711,250,253,03/01/2026 00:00:00
6048,18,500,500,03/01/2026 00:00:00
6057,40,1000,1000,03/01/2026 00:00:00
6059,0,250,250,03/01/2026 00:00:00
6060,54,1000,1000,03/01/2026 00:00:00
6062,626,1000,1001,03/01/2026 00:00:00
6063,0,500,500,03/01/2026 00:00:00
6081,0,500,500,03/01/2026 00:00:00
6082,327,1000,1000,03/01/2026 00:00:00
6084,0,500,500,03/01/2026 00:00:00
6087,11,1000,1000,03/01/2026 00:00:00
6088,49,1000,1000,03/01/2026 00:00:00
6089,0,1000,1000,03/01/2026 00:00:00
6090,2,1000,1000,03/01/2026 00:00:00
6091,7,1000,1000,03/01/2026 00:00:00
6092,7,1000,1000,03/01/2026 00:00:00
6106,0,500,500,03/01/2026 00:00:00
6113,25,250,250,03/01/2026 00:00:00
6115,169,1000,1000,03/01/2026 00:00:00
6117,968,1000,1001,03/01/2026 00:00:00
6118,78,1000,1000,03/01/2026 00:00:00
6120,6,1000,1000,03/01/2026 00:00:00
6121,0,1000,1000,03/01/2026 00:00:00
6123,38,250,250,03/01/2026 00:00:00
6128,203,250,251,03/01/2026 00:00:00
6133,1935,1000,1002,03/01/2026 00:00:00
6134,41,1000,1000,03/01/2026 00:00:00
6142,1,500,500,03/01/2026 00:00:00
6152,123,250,250,03/01/2026 00:00:00
6156,0,1000,1000,03/01/2026 00:00:00
6163,3,1000,1000,03/01/2026 00:00:00
6167,0,1000,1000,03/01/2026 00:00:00
6170,0,250,250,03/01/2026 00:00:00
6173,0,500,500,03/01/2026 00:00:00
6175,711,1000,1001,03/01/2026 00:00:00
6205,0,500,500,03/01/2026 00:00:00
6206,0,500,500,03/01/2026 00:00:00
6210,61,250,250,03/01/2026 00:00:00
6214,375,1000,1000,03/01/2026 00:00:00
6215,0,1000,1000,03/01/2026 00:00:00
6217,2627,1000,1003,03/01/2026 00:00:00
6228,0,1000,1000,03/01/2026 00:00:00
6231,1,1000,1000,03/01/2026 00:00:00
6234,900,1000,1001,03/01/2026 00:00:00
6235,1870,1000,1002,03/01/2026 00:00:00
6358,4932,1000,1005,03/01/2026 00:00:00
6382,247,250,251,03/01/2026 00:00:00
6385,0,500,500,03/01/2026 00:00:00
6410,182,250,251,03/01/2026 00:00:00
6650,1,250,250,03/01/2026 00:00:00
6651,0,500,500,03/01/2026 00:00:00
6667,397,1000,1000,03/01/2026 00:00:00
6677,384,1000,1000,03/01/2026 00:00:00
6678,0,1000,1000,03/01/2026 00:00:00
6698,0,1000,1000,03/01/2026 00:00:00
6699,0,1000,1000,03/01/2026 00:00:00
6701,20,1000,1000,03/01/2026 00:00:00
6702,42,250,250,03/01/2026 00:00:00
6710,0,1000,1000,03/01/2026 00:00:00
6712,0,1000,1000,03/01/2026 00:00:00
6713,0,1000,1000,03/01/2026 00:00:00
6715,0,1000,1000,03/01/2026 00:00:00
6721,1,1000,1000,03/01/2026 00:00:00
6722,1,1000,1000,03/01/2026 00:00:00
6723,1,1000,1000,03/01/2026 00:00:00
6725,4681,1000,1005,03/01/2026 00:00:00
6726,3488,1000,1003,03/01/2026 00:00:00
6730,1590,1000,1002,03/01/2026 00:00:00
6731,13543,1000,1014,03/01/2026 00:00:00
6732,5617,1000,1006,03/01/2026 00:00:00
6733,0,500,500,03/01/2026 00:00:00
6741,850,1000,1001,03/01/2026 00:00:00
6754,300,1000,1000,03/01/2026 00:00:00
6759,966,500,502,03/01/2026 00:00:00
6767,85,1000,1000,03/01/2026 00:00:00
6773,1575,1000,1002,03/01/2026 00:00:00
6774,1309,1000,1001,03/01/2026 00:00:00
6776,320,500,501,03/01/2026 00:00:00
6778,937,1000,1001,03/01/2026 00:00:00
6781,415,1000,1000,03/01/2026 00:00:00
